first_name,last_name,dob,team,hr,hits,avg,salary
Sarah,Boyd,4/10/1995,Khaki,33,96,0.52,40063554.28
Shawn,Flores,5/18/1982,Yellow,52,149,0.216,15837838.41
Gary,Sanders,12/31/1995,Violet,64,147,0.49,37838111.27
Albert,Murray,1/16/1978,Mauv,16,36,0.78,11619179.49
Mark,Bell,1/13/1987,Green,23,199,0.617,1849445.19
George,Howell,2/19/1983,Violet,46,61,0.521,23208230.2
Angela,Welch,9/10/1991,Crimson,35,205,0.665,36983079.62
Clarence,Nelson,3/17/1989,Aquamarine,70,121,0.711,39096018.72
Janice,Dean,12/10/1993,Purple,99,260,0.757,31165411.41
Henry,Richards,8/28/1998,Teal,25,237,0.268,3495940.75
Jesse,Hudson,1/6/1998,Red,73,55,0.327,15392458.93
Scott,Castillo,8/29/1978,Mauv,19,9,0.363,36829802.61
Karen,Fisher,6/6/1980,Fuscia,68,208,0.115,136408.09
Albert,Perry,8/7/1977,Green,97,52,0.181,786295.1
Julia,Perry,2/25/1984,Goldenrod,75,68,0.115,2514142.99
Katherine,Owens,1/8/1979,Teal,92,104,0.268,22744954.59
Christina,Murphy,3/7/1975,Goldenrod,34,75,0.318,37882393.8
Janet,Moreno,7/24/1977,Orange,97,32,0.395,40706590.76
Margaret,Hansen,6/6/1982,Yellow,93,154,0.534,39038566.69
George,Dixon,9/3/1986,Fuscia,17,49,0.335,37523660.17
Albert,Watson,3/13/1978,Crimson,79,41,0.638,33152345.83
Sarah,George,12/17/1994,Goldenrod,30,123,0.094,35259876.27
Anthony,Montgomery,11/19/1985,Red,17,32,0.17,4386536.06
Judy,Duncan,10/1/1984,Green,74,80,0.208,26940207.09
Samuel,Simpson,9/26/1975,Violet,22,297,0.695,5698279.92
Chris,Moore,5/11/1981,Green,2,177,0.649,15933965.6
Norma,Morrison,1/7/1982,Blue,64,101,0.223,11634428.66
Deborah,Webb,2/6/1980,Khaki,61,188,0.581,40621859.87
Kathy,Romero,11/26/1991,Green,46,293,0.198,11949923.5
Christopher,Cox,10/1/1983,Khaki,5,11,0.512,13189285.83
Elizabeth,Lawson,4/6/1980,Aquamarine,58,173,0.748,23442903.55
Elizabeth,Morrison,9/17/1975,Crimson,41,101,0.347,10955472.14
Shawn,Grant,7/15/1984,Yellow,96,31,0.373,39133125.87
Kimberly,Bishop,2/25/1983,Mauv,66,6,0.7,21079584.33
Stephen,Mcdonald,3/27/1988,Maroon,60,158,0.122,6593441.73
Philip,Nichols,11/1/1985,Green,97,121,0.515,21300232.85
Linda,Berry,9/8/1985,Crimson,9,117,0.804,12718889.63
Jonathan,Hunter,11/25/1993,Teal,77,156,0.361,10300990.62
Jacqueline,Johnson,6/27/1995,Turquoise,33,230,0.524,31858353.4
Daniel,Fields,5/22/1976,Green,95,11,0.55,20604548.5
Jessica,Ryan,4/20/1997,Khaki,76,56,0.76,16983753.36
Jessica,Adams,10/13/1988,Green,61,131,0.808,8585371.0
Amy,Harrison,8/28/1983,Turquoise,54,170,0.46,18156069.68
Maria,Carter,5/13/1983,Fuscia,80,125,0.277,18005285.74
Fred,Oliver,10/11/1993,Puce,39,249,0.526,11957691.06
Shawn,Griffin,10/28/1996,Khaki,47,179,0.094,3312346.78
Katherine,Turner,12/10/1992,Indigo,59,254,0.34,5782450.0
Betty,Henderson,11/17/1979,Goldenrod,32,10,0.235,2568993.92
Andrew,Miller,10/14/1996,Fuscia,68,249,0.737,21547678.64
Susan,Hunt,5/25/1975,Puce,38,141,0.648,37051231.64
Andrew,Austin,6/8/1990,Pink,6,215,0.633,8890286.0
Donna,Miller,5/24/1976,Maroon,44,21,0.399,16574402.17
Irene,Hughes,5/14/1992,Crimson,67,286,0.447,24542045.19
Nicholas,Carpenter,5/14/1988,Crimson,50,29,0.077,40052598.59
Jonathan,Perez,12/5/1982,Orange,76,246,0.495,33016849.71
Doris,Freeman,8/28/1975,Puce,96,285,0.804,39752639.67
Amy,Wagner,8/7/1975,Red,51,144,0.802,11571285.26
Phillip,Wilson,4/17/1997,Blue,53,96,0.135,23983038.75
Cynthia,Elliott,10/17/1991,Goldenrod,67,101,0.771,797250.69
Marilyn,Turner,8/5/1979,Teal,7,186,0.667,29446142.08
Heather,Jacobs,7/13/1989,Pink,41,3,0.534,5397226.0
Sean,Richards,4/17/1996,Crimson,84,241,0.575,14103464.78
Jeremy,Torres,5/24/1987,Teal,93,124,0.593,35389126.76
Janice,Ferguson,4/4/1976,Pink,94,190,0.157,33293642.05
Keith,Kim,9/30/1998,Orange,61,71,0.147,34006315.28
Paula,Chapman,9/11/1991,Pink,75,23,0.289,39394156.28
Victor,Bennett,12/17/1977,Fuscia,78,55,0.525,22174222.78
Todd,Dixon,1/27/1995,Aquamarine,22,84,0.17,24403835.61
Jeremy,Perkins,9/17/1985,Goldenrod,61,75,0.183,28156936.25
Jose,Powell,2/26/1988,Yellow,39,155,0.347,8640544.0
Juan,Rice,1/6/1990,Crimson,89,181,0.131,39285765.37
Susan,Hall,11/4/1998,Puce,70,174,0.518,43037699.31
Eric,Wright,10/30/1975,Crimson,33,7,0.37,23930568.46
Ralph,Carroll,9/23/1998,Yellow,34,174,0.389,17723681.08
Lois,Howell,5/3/1981,Teal,49,187,0.272,1573167.27
Matthew,Ross,3/21/1986,Maroon,38,144,0.18,36514216.05
Kathryn,Nichols,4/1/1978,Indigo,95,51,0.126,22599632.09
Dorothy,Burton,12/11/1988,Turquoise,76,234,0.274,7066021.0
Joan,Schmidt,5/19/1998,Green,64,192,0.674,16897607.03
Timothy,Shaw,2/2/1984,Pink,67,120,0.457,8950613.0
Phyllis,Dean,5/12/1976,Khaki,1,81,0.475,6458585.0
Shirley,Meyer,9/17/1998,Aquamarine,16,11,0.11,28009835.56
Johnny,Diaz,12/17/1990,Pink,85,234,0.257,12303652.1
Kathy,Andrews,3/19/1985,Orange,96,113,0.75,31658876.14
Douglas,Evans,10/23/1990,Goldenrod,61,204,0.788,38757634.17
Amy,Williams,10/31/1983,Orange,74,140,0.678,17027982.24
Cheryl,Fowler,9/27/1981,Puce,15,217,0.454,19626723.56
Billy,Chavez,4/12/1993,Turquoise,84,222,0.117,7336290.22
Deborah,Myers,6/4/1979,Violet,67,218,0.758,1132175.4
Chris,Henry,8/25/1985,Orange,16,156,0.393,34640949.56
Wayne,Cruz,3/10/1986,Goldenrod,14,290,0.266,9237669.0
Carol,Brown,4/1/1998,Aquamarine,18,82,0.316,44466965.85
Steven,Welch,6/27/1977,Yellow,84,223,0.51,24168004.99
Susan,Perkins,10/18/1977,Blue,56,112,0.8,22860156.27
Donald,Burton,12/28/1990,Khaki,8,22,0.654,6056870.19
Philip,Mendoza,7/23/1980,Indigo,83,137,0.571,37634090.14
Doris,Gutierrez,2/12/1976,Mauv,43,126,0.177,20837677.5
Raymond,Wallace,1/7/1996,Khaki,90,151,0.597,44639055.82
Robin,Montgomery,11/26/1976,Khaki,18,259,0.667,12537601.03
Kevin,Lawrence,4/19/1982,Crimson,58,4,0.326,20933279.28
Patricia,Bishop,2/28/1988,Fuscia,72,186,0.492,33843094.95
Gary,Fuller,3/5/1998,Aquamarine,22,224,0.419,22164688.78
Craig,Lynch,1/27/1982,Violet,13,68,0.774,39346213.73
Ronald,Johnston,10/30/1979,Violet,55,219,0.301,1560621.5
Annie,Welch,9/13/1977,Blue,38,81,0.211,2082978.14
Roy,Dean,9/10/1983,Turquoise,92,106,0.378,35777243.43
Jacqueline,Baker,3/12/1991,Purple,78,139,0.724,17260334.11
Christina,Medina,1/31/1991,Goldenrod,83,253,0.159,20966725.66
Donna,Boyd,12/7/1998,Pink,28,194,0.147,32318254.63
Jason,Patterson,1/5/1979,Aquamarine,24,89,0.286,19808269.7
Marilyn,Reed,11/17/1984,Violet,8,123,0.351,6562098.53
Rachel,Hudson,4/13/1993,Goldenrod,26,92,0.699,19040851.06
Patricia,Edwards,6/6/1983,Red,98,170,0.537,2129615.5
Mark,Allen,3/1/1979,Blue,59,3,0.3,13143966.27
Theresa,Marshall,1/22/1975,Blue,81,152,0.168,34197868.33
Nicholas,Barnes,9/22/1990,Maroon,89,53,0.363,9504872.0
William,Coleman,10/12/1987,Violet,22,228,0.476,30366843.5
Patrick,Mills,10/30/1981,Fuscia,18,9,0.292,29395267.25
James,Mendoza,11/12/1978,Aquamarine,32,90,0.366,35486056.79
Donald,Johnson,8/31/1998,Indigo,6,199,0.128,23396927.15
Wanda,Sanders,9/26/1982,Mauv,53,138,0.71,42320714.86
David,Howell,7/11/1998,Aquamarine,90,183,0.565,3628922.0
Joshua,Sims,3/12/1982,Yellow,52,44,0.332,1733335.3
Nicholas,Stewart,8/19/1981,Goldenrod,58,2,0.276,11514822.73
Peter,Ross,5/22/1998,Aquamarine,11,84,0.474,35251393.71
Lisa,Bailey,3/2/1988,Fuscia,79,174,0.673,217370.37
Nicholas,Moreno,3/30/1988,Mauv,16,16,0.231,28305039.18
David,Jordan,9/11/1978,Blue,83,124,0.233,10017019.22
Earl,Lopez,8/5/1986,Yellow,79,144,0.356,17770941.49
Diane,Hunt,1/21/1993,Mauv,25,176,0.346,28039701.15
David,Burns,8/23/1996,Maroon,31,282,0.163,18128568.26
Diana,Henderson,9/5/1988,Yellow,53,229,0.209,12738063.63
Christine,Chapman,11/22/1984,Blue,95,284,0.377,33260324.76
Ralph,Ramirez,12/20/1981,Puce,38,216,0.706,35448023.44
Janice,Hernandez,7/19/1991,Mauv,90,286,0.169,28585487.1
Andrew,Bradley,6/30/1986,Pink,20,272,0.739,32881199.24
Tina,Turner,12/31/1990,Turquoise,31,227,0.614,16780142.74
Peter,Thompson,8/10/1988,Goldenrod,96,264,0.695,4383403.31
Paul,Carroll,4/11/1979,Goldenrod,3,164,0.557,19054502.42
Sara,Cole,6/30/1998,Teal,54,160,0.082,5497700.0
Karen,Campbell,6/1/1990,Pink,2,60,0.166,34764583.32
Steven,Perkins,2/4/1985,Blue,73,53,0.476,24911692.48
Catherine,Webb,10/3/1997,Puce,71,99,0.499,44694561.82
Roger,Chapman,10/2/1977,Fuscia,32,275,0.389,43508765.54
Mark,Ray,4/19/1985,Fuscia,20,136,0.529,1431425.33
Nicole,Morris,8/25/1996,Indigo,7,156,0.204,32862606.36
Howard,Riley,4/2/1987,Crimson,85,88,0.733,24093628.95
Victor,Harris,11/29/1998,Goldenrod,68,175,0.788,17883322.28
Doris,Wells,12/9/1977,Aquamarine,88,113,0.393,14367544.81
Cheryl,Hansen,8/1/1975,Mauv,51,196,0.776,23478772.4
Jeffrey,Morrison,11/8/1991,Violet,65,292,0.744,8267309.0
Doris,Martin,12/15/1981,Violet,46,172,0.374,2427609.4
Sarah,Simpson,7/29/1980,Fuscia,13,139,0.347,22001866.07
Karen,Wright,6/27/1991,Blue,60,42,0.146,14938215.12
Mildred,Ward,3/24/1995,Goldenrod,66,112,0.693,31364482.6
Tammy,Knight,1/13/1998,Violet,9,79,0.312,30446839.34
Louis,Burns,1/5/1979,Aquamarine,50,221,0.399,30516841.41
Carol,Warren,3/7/1978,Crimson,25,103,0.296,5682831.6
Joe,Greene,12/24/1988,Goldenrod,6,127,0.464,44918527.9
Debra,Larson,1/5/1976,Violet,4,115,0.377,9893451.0
Katherine,Hill,12/12/1979,Fuscia,82,119,0.626,38940556.55
Louise,Rogers,5/2/1979,Puce,79,291,0.664,4032677.0
Diane,Hill,7/28/1996,Aquamarine,43,141,0.542,3886734.0
Raymond,Simpson,3/30/1983,Maroon,15,103,0.393,18637803.77
Alan,Willis,11/12/1975,Turquoise,54,289,0.358,21323300.37
Daniel,Garrett,7/16/1980,Pink,99,71,0.473,38650357.22
Scott,Bennett,3/11/1996,Blue,25,203,0.768,25098440.81
Martin,Romero,3/23/1985,Yellow,19,262,0.384,33321722.33
Lois,Fox,3/29/1975,Crimson,17,186,0.118,7646518.94
Deborah,Schmidt,9/1/1988,Yellow,21,191,0.412,39105466.52
Peter,Bennett,8/21/1976,Puce,80,190,0.695,30199469.94
Jennifer,Thompson,9/2/1984,Crimson,56,207,0.416,10039652.04
Irene,James,9/29/1979,Mauv,49,271,0.497,41254679.42
Carlos,Reid,6/27/1998,Khaki,66,39,0.705,18352212.23
Denise,Ramirez,11/30/1991,Indigo,8,220,0.617,6538029.38
Joseph,Hunter,5/3/1976,Purple,64,271,0.668,35044501.94
Ralph,Ortiz,10/4/1994,Orange,95,299,0.528,750642.8
Patrick,Jackson,10/31/1992,Green,58,164,0.663,31849722.14
Robert,Fuller,12/5/1983,Turquoise,48,269,0.244,17939313.09
Christine,Shaw,9/2/1993,Khaki,11,134,0.077,26389852.79
Johnny,Daniels,11/6/1998,Fuscia,91,60,0.786,24308143.15
Sara,Olson,3/4/1976,Maroon,69,34,0.221,27281540.18
Martha,Montgomery,11/25/1980,Violet,22,185,0.642,7330121.63
Gary,Fields,4/30/1998,Crimson,21,167,0.285,3184519.0
Stephen,Harper,5/2/1998,Yellow,27,206,0.329,11496624.77
Willie,Weaver,8/7/1994,Yellow,85,76,0.304,37994559.21
Debra,Shaw,10/24/1976,Purple,89,179,0.404,33158069.59
Sandra,Shaw,9/28/1997,Pink,53,293,0.285,20547069.67
Teresa,Shaw,12/10/1995,Puce,55,218,0.535,14176235.23
Fred,Wells,9/16/1981,Indigo,80,130,0.402,11249141.53
Stephen,Austin,11/25/1981,Purple,85,234,0.724,35714116.5
Deborah,Anderson,2/15/1979,Aquamarine,39,10,0.439,7058665.0
Richard,Stewart,7/4/1993,Pink,96,249,0.186,40848993.03
Tammy,Williams,7/16/1976,Teal,54,274,0.682,32188187.9
Karen,Lee,8/20/1979,Red,36,76,0.252,30515050.01
Victor,Sims,1/28/1986,Mauv,58,180,0.218,32181329.74
Johnny,Kelley,8/3/1992,Maroon,65,260,0.76,3907852.0
Patricia,George,9/1/1997,Maroon,78,66,0.247,13421971.56
Linda,Walker,5/5/1990,Pink,29,221,0.751,20227569.95
Larry,Scott,6/3/1990,Puce,68,67,0.276,18828709.27
Julia,George,10/14/1991,Crimson,72,277,0.723,37103869.06
Ralph,Jordan,5/11/1996,Blue,10,122,0.542,11554541.33
Juan,Roberts,7/31/1987,Crimson,91,283,0.432,21914688.14
Peter,Morrison,12/7/1983,Maroon,21,50,0.094,38088368.34
Eric,Ferguson,11/15/1976,Blue,65,188,0.38,44992712.55
Aaron,Gonzales,1/27/1975,Maroon,77,224,0.59,14717588.27
Teresa,Matthews,7/17/1977,Violet,55,36,0.186,10214956.59
Juan,Phillips,7/27/1989,Yellow,19,192,0.492,40609495.56
Sandra,Tucker,7/22/1997,Goldenrod,84,266,0.763,26511951.75
Lori,Porter,9/7/1996,Khaki,84,262,0.807,24961352.93
Frances,Woods,8/15/1984,Puce,77,288,0.227,16597309.51
Beverly,Thomas,11/17/1977,Puce,40,88,0.681,21818636.52
William,Scott,11/4/1990,Goldenrod,53,21,0.268,7043891.0
Kenneth,Bishop,8/23/1991,Violet,11,166,0.358,32569037.41
Eugene,James,4/12/1987,Green,38,173,0.7,19687094.09
Arthur,Burke,3/10/1996,Orange,100,123,0.723,4390116.0
Nicholas,Cooper,1/29/1988,Mauv,80,183,0.786,14543374.51
Evelyn,Graham,11/8/1981,Violet,84,255,0.536,43990084.4
Sara,Morris,6/30/1983,Crimson,39,13,0.154,7728416.0
Brian,Brown,2/3/1981,Red,85,216,0.712,12548143.63
Jimmy,Carroll,3/9/1998,Goldenrod,34,42,0.386,29671790.81
Stephanie,Hamilton,11/5/1992,Puce,77,289,0.167,4884244.8
Harold,Lynch,6/27/1991,Blue,71,78,0.351,14188709.87
Lori,Medina,3/6/1981,Mauv,24,70,0.523,23209705.61
Matthew,Patterson,7/26/1998,Maroon,15,201,0.724,28028075.61
Jennifer,Greene,5/6/1998,Maroon,13,71,0.221,25890678.07
Joyce,Harrison,1/7/1992,Puce,82,107,0.726,43787758.8
Beverly,Austin,6/1/1979,Goldenrod,3,98,0.64,30692485.02
Dorothy,Hernandez,8/4/1985,Yellow,33,211,0.39,44891254.11
Raymond,White,10/18/1980,Crimson,79,199,0.666,7614705.24
Doris,Roberts,11/20/1985,Violet,6,4,0.362,2877058.81
Joe,Freeman,10/16/1978,Pink,94,248,0.375,21919912.6
Robert,Young,12/22/1996,Goldenrod,61,254,0.455,25270322.99
Andrew,Mitchell,8/8/1984,Khaki,12,70,0.591,2383039.66
Alan,Banks,5/25/1995,Violet,75,82,0.213,30861723.65
Jacqueline,Hernandez,1/30/1985,Indigo,10,81,0.529,27929760.98
Gregory,Castillo,7/30/1975,Green,46,190,0.755,13776290.33
Juan,Griffin,4/23/1977,Purple,93,55,0.665,7091532.0
Richard,Sullivan,6/28/1994,Puce,74,281,0.546,36632368.32
Louise,Johnson,2/25/1991,Red,21,39,0.117,29128438.39
Anne,Marshall,5/8/1981,Indigo,62,33,0.665,41078690.19
Todd,Gonzalez,9/2/1994,Aquamarine,47,242,0.656,9198155.0
Patrick,Barnes,9/23/1976,Violet,63,200,0.239,19963223.6
Marie,Butler,3/2/1993,Turquoise,95,19,0.675,11081803.16
Jonathan,James,1/29/1980,Orange,61,224,0.704,7985048.0
Gerald,Green,11/27/1979,Turquoise,58,251,0.206,24304953.16
Andrea,Johnston,9/22/1994,Pink,37,274,0.455,3999067.05
Rachel,Porter,10/5/1993,Puce,98,158,0.271,10761882.33
Bonnie,Cooper,6/13/1985,Fuscia,47,152,0.445,4999901.34
Laura,Fuller,11/1/1992,Turquoise,82,97,0.313,17039062.63
Johnny,Nguyen,11/8/1976,Fuscia,80,173,0.434,17500918.48
Jacqueline,Richards,5/8/1997,Maroon,35,258,0.354,38971694.75
Elizabeth,Rose,8/1/1976,Goldenrod,67,130,0.556,19615711.41
Angela,Bowman,1/16/1983,Orange,60,260,0.728,33293107.1
Jennifer,Stewart,2/24/1996,Turquoise,77,39,0.67,28388608.5
Randy,Hicks,10/27/1990,Maroon,68,139,0.598,4546725.0
Julie,Perry,6/9/1987,Crimson,84,195,0.604,13243651.57
Dorothy,Arnold,8/27/1990,Violet,59,201,0.588,29141249.87
Jeffrey,Hawkins,3/24/1989,Orange,74,203,0.269,41203020.16
Phyllis,Larson,10/1/1978,Purple,80,77,0.136,20882522.5
Laura,Robertson,3/9/1984,Pink,35,291,0.628,1098912.0
James,Martinez,11/9/1976,Maroon,99,161,0.772,22682948.85
Ashley,Gonzales,4/23/1997,Goldenrod,1,110,0.386,23981821.96
Joseph,Hernandez,8/4/1989,Mauv,85,2,0.751,39174005.9
Patricia,Morrison,12/1/1991,Pink,89,253,0.173,34533756.85
Roy,Wright,8/25/1984,Teal,100,156,0.786,13805083.74
Carolyn,Gomez,4/1/1990,Puce,67,27,0.132,37836127.73
Tammy,Bailey,8/2/1995,Violet,12,24,0.788,3952166.68
Jerry,Roberts,2/20/1984,Maroon,87,78,0.726,4648421.22
Donna,Riley,7/1/1979,Fuscia,3,257,0.539,34180428.32
Keith,Cunningham,7/25/1975,Red,100,90,0.403,41842037.07
Jane,Clark,4/25/1990,Blue,7,13,0.728,43197811.66
Judy,Bowman,3/3/1981,Violet,39,262,0.316,16199757.41
Justin,Perkins,8/31/1997,Red,94,218,0.237,28132044.33
Gloria,Daniels,7/7/1993,Orange,25,57,0.696,23293705.16
Adam,Kennedy,6/2/1978,Aquamarine,91,268,0.788,7241154.0
Harold,Adams,10/25/1977,Puce,3,115,0.44,25564502.54
Brian,Castillo,6/10/1979,Puce,14,84,0.45,12962096.82
Pamela,Rodriguez,9/27/1983,Pink,16,276,0.44,7250152.0
Louis,Baker,11/11/1977,Fuscia,65,128,0.409,6399185.0
Harry,Roberts,9/24/1981,Fuscia,99,53,0.319,21341278.63
Jimmy,Franklin,7/28/1984,Indigo,98,39,0.71,37178274.41
Jean,Reed,4/23/1989,Yellow,97,154,0.19,29233561.16
Douglas,Fernandez,8/9/1995,Aquamarine,58,272,0.62,16995434.31
George,Graham,4/18/1977,Khaki,5,17,0.129,31689756.41
Teresa,Smith,12/30/1975,Aquamarine,2,197,0.104,25714597.46
Richard,Mendoza,6/30/1977,Violet,66,42,0.57,4005021.0
Ralph,Pierce,3/8/1997,Blue,52,49,0.483,8229416.0
George,Gonzales,12/30/1975,Fuscia,87,70,0.287,14826446.9
Julia,Rogers,1/28/1989,Puce,1,259,0.263,5879755.0
Gerald,Andrews,3/3/1991,Aquamarine,4,230,0.12,3841326.12
Kelly,Clark,1/28/1994,Fuscia,45,178,0.283,25964928.7
Bobby,Hanson,10/15/1987,Blue,11,201,0.362,6511579.52
Juan,Meyer,6/30/1979,Puce,73,146,0.311,15654750.49
Laura,Mills,11/30/1987,Aquamarine,31,77,0.134,35523895.27
Laura,Marshall,11/12/1997,Turquoise,11,155,0.616,32507717.29
Shawn,Hansen,9/19/1997,Blue,46,220,0.802,44958827.27
Diana,Carr,5/23/1986,Teal,78,169,0.09,13453915.4
Eugene,Fowler,11/3/1996,Teal,61,251,0.728,1952319.54
Andrea,Pierce,4/11/1975,Mauv,67,62,0.752,17078304.67
Billy,Greene,10/3/1989,Indigo,53,107,0.607,25502490.91
Louise,Carroll,9/25/1983,Violet,43,24,0.158,9235734.0
Donna,Matthews,8/1/1987,Purple,92,197,0.325,25505533.98
Larry,Jenkins,11/8/1992,Indigo,50,106,0.41,13248141.72
Bonnie,Fields,6/5/1987,Fuscia,47,238,0.138,34916664.69
David,Williamson,3/27/1981,Teal,30,11,0.672,34866189.98
Wanda,Alexander,4/5/1984,Fuscia,46,242,0.54,22679068.97
Evelyn,Arnold,8/16/1993,Orange,22,235,0.309,15655239.41
Rebecca,Romero,3/3/1979,Goldenrod,75,294,0.235,10400481.83
Paul,Brown,5/4/1997,Pink,27,9,0.583,25356403.15
Donald,Pierce,6/15/1992,Yellow,31,191,0.556,22257331.83
Shirley,Ellis,11/1/1979,Violet,20,131,0.596,43221780.05
Jeremy,Frazier,5/10/1996,Red,3,20,0.509,33038689.4
Catherine,Mcdonald,7/12/1975,Yellow,28,112,0.25,34156350.94
Martha,Black,11/13/1996,Pink,72,195,0.285,32039630.6
Phillip,Schmidt,4/30/1994,Puce,83,274,0.402,36808154.57
Martha,Day,11/17/1990,Turquoise,27,3,0.238,43953909.95
Chris,Duncan,8/26/1994,Puce,57,2,0.432,15468850.78
Kathy,Mcdonald,10/2/1979,Orange,29,249,0.786,37741332.5
Howard,Young,12/12/1978,Yellow,5,67,0.322,33987323.34
Donald,Spencer,5/26/1986,Turquoise,45,179,0.525,24766731.64
Katherine,Howard,6/27/1994,Yellow,77,3,0.314,32150488.37
Paul,Bowman,10/4/1996,Maroon,37,3,0.114,39319784.94
Tina,Peters,7/16/1996,Mauv,27,275,0.619,11337904.73
Kathryn,Martin,7/6/1998,Yellow,18,118,0.319,37649765.48
Lisa,Lopez,3/11/1982,Crimson,47,23,0.343,14172812.15
Heather,Stevens,6/18/1995,Fuscia,46,281,0.486,32684350.81
Willie,Williams,3/21/1987,Blue,62,67,0.332,44166470.89
Steven,Richards,3/10/1986,Fuscia,89,201,0.485,31621290.16
Diana,Martinez,12/19/1982,Fuscia,79,262,0.752,18277301.62
William,Wood,3/3/1977,Orange,88,137,0.685,15016928.23
Joan,Rogers,3/5/1978,Teal,56,53,0.588,14676835.05
Jason,Bennett,1/10/1979,Turquoise,23,73,0.321,2795085.0
Stephen,Andrews,1/1/1997,Pink,79,59,0.77,19124710.63
Lawrence,Kelley,8/17/1983,Violet,74,236,0.254,26837473.28
Diane,Sanders,9/18/1982,Aquamarine,7,73,0.559,40291796.26
Wayne,Fields,9/27/1986,Khaki,26,255,0.138,15299207.21
Tina,Gonzalez,4/15/1996,Blue,41,27,0.308,7254192.0
Julie,Greene,3/26/1983,Pink,75,79,0.576,8505222.0
Nicholas,Ellis,1/22/1996,Goldenrod,97,71,0.317,11323567.65
Phillip,Cole,2/16/1983,Purple,36,229,0.684,19931101.76
Julia,Kim,6/25/1991,Aquamarine,78,77,0.77,5381793.38
Rose,Barnes,2/26/1976,Mauv,98,178,0.638,29937850.61
Andrea,Vasquez,2/17/1986,Teal,61,102,0.218,29692638.66
Joseph,Dunn,10/21/1997,Blue,50,172,0.468,21700174.26
Bonnie,Bryant,8/5/1993,Indigo,48,171,0.558,1156956.34
Gloria,Sims,12/23/1986,Goldenrod,10,152,0.401,4068070.0
Carlos,Collins,6/9/1991,Green,2,210,0.735,6136943.47
Tina,Black,2/6/1976,Indigo,76,47,0.269,13468953.79
Jesse,Kelly,10/4/1994,Violet,26,163,0.363,38450589.7
Joshua,Ramos,9/6/1989,Khaki,83,127,0.562,5090876.0
Nicole,Cooper,6/6/1998,Green,34,272,0.516,3368279.0
Rebecca,Gonzalez,10/30/1975,Teal,70,125,0.804,2596287.66
Phillip,Bailey,8/19/1992,Goldenrod,70,55,0.746,21819732.75
Frances,Hicks,6/24/1993,Teal,32,244,0.358,685618.51
Arthur,Dean,9/12/1993,Khaki,54,220,0.699,31942065.79
Edward,Simmons,4/8/1997,Pink,40,134,0.242,26241035.14
Antonio,Boyd,12/16/1989,Turquoise,51,93,0.525,37602551.63
Melissa,Perkins,10/23/1996,Aquamarine,47,99,0.622,12553246.38
Daniel,Morrison,10/13/1996,Khaki,49,198,0.091,10659205.82
Kimberly,Robertson,6/21/1988,Khaki,100,85,0.526,42294409.46
Sara,Chapman,2/12/1978,Red,78,219,0.705,25956714.73
Elizabeth,Cunningham,7/30/1983,Teal,43,243,0.243,21548337.63
Benjamin,Perkins,8/16/1977,Mauv,100,141,0.455,21227678.28
Judith,Fox,9/29/1978,Orange,49,285,0.772,35545317.71
Jose,Morgan,11/30/1998,Teal,61,19,0.139,39393378.62
Albert,Walker,2/26/1982,Turquoise,9,259,0.659,5402196.11
Patricia,Ross,8/1/1975,Violet,3,81,0.691,16503891.54
Kathryn,Torres,5/25/1996,Pink,9,131,0.522,22872504.66
John,Green,2/6/1988,Green,61,201,0.538,4210459.58
Russell,Dean,3/22/1990,Purple,84,96,0.336,10273320.73
Doris,Gray,4/16/1986,Maroon,70,283,0.185,26690181.39
Mary,Harrison,5/28/1992,Aquamarine,64,286,0.622,26225464.3
Anne,Price,5/18/1980,Puce,77,51,0.429,41571632.48
Clarence,Harris,9/12/1984,Indigo,40,69,0.16,12446328.15
Jose,Davis,12/12/1978,Mauv,80,32,0.574,8402381.0
Mark,James,7/29/1996,Purple,47,5,0.161,16944336.32
Janet,Morales,3/16/1985,Yellow,44,12,0.778,28466025.98
Diane,Rogers,7/22/1992,Teal,94,64,0.138,6044383.0
Edward,Wells,8/11/1995,Aquamarine,72,116,0.157,31971374.04
Ralph,Henry,10/31/1996,Red,68,85,0.783,26295379.45
Justin,Jenkins,9/30/1997,Fuscia,89,60,0.224,21738203.55
Samuel,Torres,9/1/1998,Crimson,90,252,0.155,42615083.96
Susan,Perkins,12/4/1997,Purple,65,35,0.285,25244901.66
Lisa,Armstrong,2/21/1986,Indigo,44,173,0.278,14365726.93
Philip,Jones,8/31/1978,Turquoise,77,17,0.258,8180603.0
Jack,Collins,4/20/1975,Teal,94,190,0.294,6280473.0
Linda,Clark,5/28/1976,Teal,38,250,0.349,4647090.0
Douglas,Dixon,8/19/1977,Fuscia,99,127,0.507,20240126.59
Diane,Willis,11/26/1987,Indigo,42,98,0.095,1642109.08
Debra,Henry,8/19/1994,Yellow,26,196,0.39,33573657.17
Patricia,Stanley,9/18/1986,Blue,2,2,0.275,39590406.37
Ruth,Roberts,7/26/1987,Purple,29,55,0.562,43116875.95
Michael,Mitchell,11/30/1990,Aquamarine,64,265,0.769,16952011.67
Patrick,Evans,1/19/1986,Violet,75,167,0.61,16413565.47
Rose,Wallace,7/24/1984,Indigo,100,116,0.508,6583631.0
Joe,Arnold,10/27/1997,Green,92,277,0.469,4012234.15
Julie,Dunn,6/5/1998,Indigo,65,64,0.787,40038589.97
